Date,T_0,P_0,PET_0,T_1,P_1,PET_1,T_2,P_2,PET_2
2015-09-03,16.2,0.0,4.26,14.2,0.0,4.04,14.0,0.0,4.2
2015-09-04,16.6,0.2,4.06,14.7,2.9,3.56,14.6,0.2,4.07
2015-09-05,15.3,2.0,3.46,13.3,2.1,2.83,12.7,2.0,3.38
2015-09-06,15.6,0.9,3.66,13.6,1.5,3.47,12.6,0.9,3.58
2015-09-07,15.3,0.1,3.98,13.3,0.0,3.84,12.1,0.1,3.81
2015-09-08,15.4,0.0,3.77,13.4,0.6,3.44,13.1,0.0,3.74
2015-09-09,14.9,0.6,3.09,13.0,2.3,2.5,13.3,0.6,3.11
2015-09-10,16.0,0.0,3.36,14.0,0.0,2.75,14.4,0.0,3.38
2015-09-11,16.3,0.0,3.33,14.3,0.0,2.97,14.1,0.0,3.29
2015-09-12,16.2,0.1,3.55,14.2,0.0,3.4,13.7,0.1,3.48
2015-09-13,15.2,15.7,3.03,13.2,18.6,2.49,13.2,15.7,3.06
2015-09-14,14.0,2.2,2.58,12.0,4.7,2.18,12.0,2.2,2.57
2015-09-15,13.4,1.6,2.57,11.5,3.4,2.06,11.4,1.6,2.57
2015-09-16,12.4,1.3,2.54,10.4,4.5,2.17,10.2,1.3,2.52
2015-09-17,12.6,0.0,2.95,10.6,0.3,2.48,10.7,0.0,2.94
2015-09-18,13.6,0.0,3.08,11.6,0.0,2.66,11.6,0.0,3.07
2015-09-19,15.3,0.0,3.41,13.3,0.0,3.14,13.2,0.0,3.37
2015-09-20,16.2,0.0,3.82,14.2,0.4,3.49,13.4,0.0,3.79
2015-09-21,15.3,0.3,3.47,13.3,1.4,3.32,12.2,0.3,3.43
2015-09-22,14.0,0.0,2.87,12.0,4.4,2.44,11.4,0.0,2.89
2015-09-23,14.3,0.0,3.35,12.3,0.0,3.18,11.4,0.0,3.26
2015-09-24,14.4,0.0,3.46,12.4,0.0,3.27,11.1,0.0,3.33
2015-09-25,13.4,2.0,2.69,11.4,4.2,2.31,10.8,2.0,2.64
2015-09-26,13.6,2.0,2.54,11.6,4.1,2.26,11.3,2.0,2.51
2015-09-27,12.9,0.6,2.72,10.9,0.5,2.52,9.8,0.6,2.63
2015-09-28,12.6,2.6,2.6,10.6,2.4,2.31,9.7,2.6,2.53
2015-09-29,13.4,1.4,2.39,11.5,3.4,2.1,10.6,1.4,2.37
2015-09-30,11.8,1.2,2.07,9.8,10.7,1.79,8.7,1.2,2.03
2015-10-01,11.4,1.9,2.14,9.4,10.6,1.69,8.6,1.9,2.1
2015-10-02,10.5,4.5,0.88,8.5,11.1,0.73,7.5,4.5,0.89
2015-10-03,9.8,1.8,1.94,7.8,22.0,1.56,6.9,1.8,1.9
2015-10-04,9.1,4.3,1.77,7.1,45.6,1.58,6.2,4.3,1.69
2015-10-05,8.5,0.0,2.53,6.5,0.0,2.3,5.3,0.0,2.43
2015-10-06,10.1,0.1,2.51,8.1,3.3,2.33,7.1,0.1,2.47
2015-10-07,9.3,12.7,1.12,7.3,38.4,1.12,6.2,12.7,1.11
2015-10-08,6.2,12.8,0.97,4.3,20.8,0.81,3.3,12.8,0.93
2015-10-09,5.6,5.3,1.29,3.6,9.0,1.0,3.1,5.3,1.25
2015-10-10,3.7,6.4,0.88,1.7,16.0,0.8,1.2,6.4,0.85
2015-10-11,7.4,0.0,2.32,5.4,0.0,2.21,4.7,0.0,2.26
2015-10-12,10.2,1.7,1.81,8.2,7.2,1.64,7.0,1.7,1.71
2015-10-13,9.6,8.1,1.86,7.7,16.8,1.71,6.4,8.1,1.78
2015-10-14,7.8,7.3,1.29,5.8,29.8,0.96,4.7,7.3,1.22
2015-10-15,7.0,1.0,1.19,5.0,2.9,0.95,4.6,1.0,1.17
2015-10-16,5.9,0.4,1.27,3.9,1.2,1.14,3.6,0.4,1.24
2015-10-17,6.8,0.0,2.17,4.8,0.0,2.05,4.6,0.0,2.12
2015-10-18,7.1,0.0,1.99,5.1,0.0,1.89,4.6,0.0,1.94
2015-10-19,8.2,0.0,2.12,6.2,0.4,1.93,5.7,0.0,2.07
2015-10-20,8.8,0.0,1.93,6.8,0.0,1.77,5.8,0.0,1.88
2015-10-21,8.8,0.0,2.21,6.8,0.0,2.09,5.4,0.0,2.09
2015-10-22,9.1,0.5,2.06,7.1,5.7,1.93,5.7,0.5,1.99
2015-10-23,10.1,0.5,1.36,8.1,0.0,1.38,6.6,0.5,1.14
2015-10-24,11.3,1.4,1.59,9.3,6.3,1.42,7.9,1.4,1.44
2015-10-25,6.9,18.5,0.89,4.9,21.6,0.63,4.9,18.5,0.89
2015-10-26,3.0,23.6,0.47,1.0,25.8,0.41,0.5,23.6,0.44
2015-10-27,2.7,7.6,0.55,0.8,12.0,0.5,0.1,7.6,0.52
2015-10-28,2.3,4.3,0.66,0.3,9.9,0.59,-0.5,4.3,0.61
2015-10-29,2.5,1.0,0.71,0.5,3.8,0.66,-0.0,1.0,0.67
2015-10-30,3.2,0.7,0.87,1.2,1.8,0.77,0.5,0.7,0.82
